,name,id,calories,sugars,sodium,fat,saturated fat
42,Harvest Pumpkin Soup,9142,245,3.2,0.8989,19.8,12.3
43,Harvest Rice Dish,9143,278,18.7,0.36560000000000004,11.0,4.1
44,Hawaiian Fruit Crumble,9144,416,72.5,0.0636,5.1,2.6
45,Hearty Turkey Soup with Parsley Dumplings,9145,404,5.9,1.067,16.7,6.9
46,"Homestyle Turkey, the Michigander Way",9146,548,0.4,0.7527,28.1,9.6
47,Ibby's Pumpkin Mushroom Stuffing,9147,465,1.6,0.7616,29.3,13.4
48,Insalata Cotta e Cruda,9148,315,4.3,0.2796,18.8,4.7
49,Joey's Bread Pudding,9149,628,63.1,0.4595,23.7,12.3
50,Lilley Mashed Potato Casserole,9150,213,2.7,0.7934,7.6,4.6
51,Lime Gelatin Salad,9151,458,25.7,0.1792,37.0,18.4
52,Lucy's Carrot Pudding,9152,465,60.1,0.26589999999999997,14.8,9.2
53,Ma Lipo's Apricot-Glazed Turkey with Roasted Onion and Shallot Gravy,9153,808,9.7,0.507,39.4,14.0
54,Make-Ahead Mashed Potatoes,9154,245,0.5,0.3695,9.3,5.8
55,Maple Roast Turkey and Gravy,9155,581,7.0,0.4087,29.4,10.9
56,Mashed Root Vegetable Casserole with Caramelized Onions,9156,407,12.0,0.25780000000000003,18.2,11.4
57,Melt In Your Mouth Pie,9157,250,21.0,0.1133,14.2,7.7
58,Michelle's Famous Washed Cranberry Sauce,9158,120,27.5,0.0047,0.1,0.0
59,Mincemeat and Pumpkin Layer Pie,9159,301,34.7,0.3979,11.3,4.0
60,Mocha Walnut Cookies,9160,226,8.8,0.1198,11.4,6.3
61,Mom's Great Green Beans,9161,38,2.3,0.5498,1.7,1.1
62,Mom's Traditional Creamed Onions,9162,212,6.9,0.1428,14.0,8.8
63,Moore's Cranberry Gelatin Salad,9163,203,46.2,0.0575,0.3,0.1
64,Nutmeg Mushrooms,9164,75,3.0,0.5897,1.2,0.6
65,Nutty Wild Rice Salad with Kiwifruit and Red Grapes,9165,248,14.5,0.005,5.2,0.6
66,Old-Fashioned Scalloped Corn,9166,230,4.8,0.5666,11.6,6.4
67,Orange and Onion Salad,9167,242,18.0,0.2087,16.3,2.2
68,Orange Glazed Sweet Potatoes,9168,373,37.0,0.528,6.0,3.7
69,Spiced Orange Cranberry Sauce,9169,37,7.9,0.0025,0.0,0.0
70,Oyster Stuffing,9170,109,2.8,0.3683,3.9,1.2
71,Patty's Mashed Turnips,9171,76,6.7,0.1247,3.2,2.0
72,Peanut Brittle,9172,138,16.2,0.0928,4.8,0.7
73,French Tourtiere,9173,472,0.7,0.5748,34.4,11.3
74,Peanut Butter Pie,9174,605,38.8,0.3668,43.1,23.0
75,Pear Conserve with Cherries and Hazelnuts,9175,306,43.3,0.1042,7.0,0.5
76,Peanut Butter Pie III,9176,266,19.3,0.31639999999999996,12.9,2.7
77,Quick Pecan Pie Bars,9177,175,11.4,0.0716,9.1,3.0
78,Pecan Pie Bars II,9178,315,25.4,0.30560000000000004,12.9,2.0
79,Potato and Shiitake Mushroom Gratin,9179,430,2.8,0.6686,29.5,18.1
80,Grandma's Potato Dumplings,9180,236,1.3,0.3473,5.8,2.5
81,Poultry Seasoning,9181,6,0.1,0.2216,0.2,0.1
82,Pumpkin Biscuits,9182,62,1.3,0.0917,2.7,1.6
83,Pumpkin Butter I,9183,314,69.6,0.39339999999999997,0.8,0.4
84,Pumpkin Casserole,9184,219,21.1,0.1691,11.1,6.7
85,Pumpkin Cheese Pie with Condensed Milk,9185,411,27.9,0.2897,23.5,11.4
86,Pumpkin Crunch Cake,9186,1213,100.0,1.4187,67.4,18.0
87,Pumpkin Mousse,9187,213,39.1,0.057,3.4,1.4
88,Pumpkin Pecan Cheesecake,9188,340,28.3,0.221,20.3,8.1
89,Pumpkin Pie,9189,287,25.4,0.32480000000000003,11.7,4.3
90,Pumpkin Pie Cake,9190,301,24.7,0.4057,16.0,6.4
91,Pumpkin Soup,9191,115,5.7,1.4581,6.3,3.6
92,Pumpkin Spice Ring,9192,197,31.7,0.5029,0.1,0.0
93,Red Cabbage With Apricots And Balsamic Vinegar,9193,223,21.1,0.12279999999999999,11.9,7.4
94,Red Pepper and Corn Relish,9194,21,0.9,0.0335,1.0,0.1
95,Roast Turkey With Tasty Chestnut Stuffing,9195,1214,12.1,0.9525,58.3,24.8
96,Roasted Root Vegetables With Apple Juice,9196,296,26.8,0.1918,5.1,2.9
97,Romaine with Garlic Lemon Anchovy Dressing,9197,172,0.9,0.3565,14.5,4.5
98,Rosemary Mashed Potatoes and Yams with Garlic and Parmesan,9198,215,4.0,0.1409,10.2,4.4
99,Rosemary Roasted Turkey,9199,638,0.0,0.222,37.5,9.1
