,name,id,description,picture,servings,calories,reviews,rating,carbohydrates,dietary fiber,sugars,fat,saturated fat,calcium,iron,magnesium,potassium,sodium,ingredients,cholesterol
22,Raspberry Hearts,10422,Melt in your mouth cookies and beautiful for Valentine's Day! ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F6374793.jpg,12,275.4,13,3.9,33.2,0.8,15.8,14.1,8.1,0.0273,0.0014,0.0077,0.0596,0.0281,2 eggs #2 cups unbleached all-purpose flour #¼ cup packed brown sugar #¾ cup unsalted butter #2 egg yolks #1 tablespoon lemon zest #2 teaspoons ground cinnamon #1 pinch salt #1 (8 ounce) jar seedless raspberry jam #2 eggs #2 tablespoons water ,0.1266
23,Heart's Delight,10423,Another recipe from our annual Heart Party on Valentine's Day. ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F247398.jpg,36,169.8,3,4.1,18.0,0.3,10.5,10.5,6.6,0.0125,0.0005,0.0032,0.024,0.0756,"1 cup butter, softened #½ cup white sugar #2 teaspoons almond extract #5 drops red food coloring #2 ½ cups sifted all-purpose flour #⅓ cup granulated sugar for decoration #5 tablespoons all-purpose flour #1 cup milk #1 cup white sugar #1 cup butter #1 teaspoon vanilla extract ",0.0277
24,Love Letters,10424,Cookies that look like little letters. ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F1727.jpg,24,149.9,6,3.6,16.8,0.3,7.7,8.8,5.5,0.0101,0.0007,0.0031,0.0245,0.1585,"2 cups all-purpose flour #½ cup white sugar #1 teaspoon salt #1 cup butter #2 teaspoons lemon zest #1 tablespoon orange zest #½ cup sour cream #1 cup candied cherries, chopped ",0.0224
25,Almond Chocolate Coconut Cookies I,10425,Light cookie with the taste of an Almond Joy candy bar. ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F6642460.jpg,24,121.1,8,3.5,15.0,1.6,10.8,6.5,2.7,0.0189,0.0007,0.0281,0.0974,0.023399999999999997,4 egg whites #1 cup confectioners' sugar #1 teaspoon vanilla extract #1 ½ cups flaked coconut #½ cup all-purpose flour #1 cup semisweet chocolate chips #1 cup toasted and chopped almonds ,0.0
26,Peanut Chewies,10426,Salty and sweet combination. This recipe is a 'keeper'! ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F1034659.jpg,36,230.4,19,4.5,25.5,0.8,12.5,12.0,6.9,0.0149,0.001,0.016399999999999998,0.069,0.1911,"1 ½ cups all-purpose flour #⅔ cup packed brown sugar #½ teaspoon baking powder #½ teaspoon salt #¼ teaspoon baking soda #½ cup butter, softened #1 teaspoon vanilla extract #2 egg yolks #3 cups miniature marshmallows #⅔ cup corn syrup #¼ cup butter #2 teaspoons vanilla extract #2 cups peanut butter chips #2 cups crisp rice cereal #2 cups salted peanuts (Optional)",0.0215
27,Soft Molasses Cookies I,10427,"This is a soft molasses cookie from about 30 years ago. If do not like walnuts, substitute with raisins or other types of nuts. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F64568.jpg,12,271.5,13,3.2,37.4,1.1,16.1,12.4,2.6,0.041,0.002,0.0469,0.2554,0.27,2 ¼ cups sifted all-purpose flour #1 teaspoon ground ginger #1 teaspoon ground cinnamon #¼ teaspoon salt #2 teaspoons baking soda #2 tablespoons hot water #½ cup shortening #½ cup white sugar #½ cup molasses #1 egg #6 tablespoons cold water #½ cup chopped walnuts ,0.0155
28,Regina (Queen's Biscuit),10428,There used to be a commercial version of these years ago but once you have had them home-made there is no comparison. These are not too sweet but they are addicting. ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F16074.jpg,60,87.5,10,4.8,10.3,0.4,3.5,4.6,1.1,0.0357,0.0007,0.0087,0.023,0.0376,4 cups all-purpose flour #1 cup white sugar #1 tablespoon baking powder #¼ teaspoon salt #½ teaspoon ground cardamom #1 cup shortening #2 eggs #1 teaspoon lemon extract #½ cup milk #¾ cup sesame seeds ,0.0064
29,Butter Crisps,10429,These make excellent cutout cookies for Valentine's Day or Christmas Cookies. ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F1793088.jpg,12,334.6,14,4.2,36.9,0.7,16.8,19.3,11.9,0.0296,0.0014,0.0073,0.05,0.1633,1 cup butter #½ (8 ounce) package cream cheese #1 cup white sugar #1 egg #1 teaspoon vanilla extract #2 ½ cups all-purpose flour #½ teaspoon baking powder ,0.0664
30,Italian Wedding Cakes,10430,"Frosted, cake-like cookies. To enjoy for special holidays I sprinkle on colored jimmies before the icing dries. ",0,48,99.5,5,3.1,16.7,0.2,9.3,3.0,1.0,0.0762,0.0006,0.0031,0.0207,0.1306,"1 cup white sugar #2 eggs #1 cup milk #4 tablespoons baking powder #1 tablespoon almond extract #1 pinch salt #½ cup melted shortening #3 ½ cups all-purpose flour #2 cups confectioners' sugar #1 tablespoon almond extract #8 teaspoons water #2 tablespoons butter, melted ",0.0094
31,Italian Wedding Cookies III,10431,"Also sometimes called 'Mexican wedding cookie', 'Russian tea cakes', or 'butterballs', can also be made into crescents. You can also substitute pecans and they are very good as well. This is the best version of these I have ever seen, it was given me by a friend who grew up in central Europe. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F8811475.jpg,40,140,287,4.6,11.5,0.9,3.5,9.7,4.6,0.016800000000000002,0.0007,0.0169,0.0516,0.044899999999999995,1 ½ cups unsalted butter #¾ cup confectioners' sugar #¾ teaspoon salt #1 ½ cups finely ground almonds #4 ½ teaspoons vanilla extract #3 cups sifted all-purpose flour #⅓ cup confectioners' sugar for rolling ,0.0183
32,Double Chocolate Biscotti,10432,"A crisp, not too sweet chocolate cookie. Wonderful with coffee. Stores very well. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F582756.jpg,36,98.8,267,4.5,12.7,0.5,7.4,5.1,3.0,0.0288,0.0006,0.0087,0.0389,0.053,"½ cup butter, softened #⅔ cup white sugar #¼ cup unsweetened cocoa powder #2 teaspoons baking powder #2 eggs #1 ¾ cups all-purpose flour #4 (1 ounce) squares white chocolate, chopped #¾ cup semisweet chocolate chips ",0.0178
33,Blonde Brownies III,10433,I made these back in the 50's when I was first married. ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F64314.jpg,36,171.6,107,4.2,25.6,0.7,17.5,7.4,3.3,0.040799999999999996,0.0009,0.0146,0.0683,0.1012,2 ⅔ cups all-purpose flour #2 ½ teaspoons baking powder #½ teaspoon salt #⅔ cup butter #2 ½ cups packed brown sugar #3 eggs #1 cup chopped walnuts #1 cup semisweet chocolate chips ,0.0245
34,Ladyfingers,10434,"To make Chocolate Lady Fingers, substitute 3/4 cup all-purpose flour plus 2 tablespoons cocoa powder for the all-purpose flour. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F5112722.jpg,48,25,193,4.5,4.6,0.1,2.8,0.4,0.1,0.0054,0.0002,0.001,0.0081,0.011,"4 eggs, separated #⅔ cup white sugar #⅞ cup all-purpose flour #½ teaspoon baking powder ",0.0155
35,Italian Pepper Balls,10435,These keep well and also freeze well. Rum or whisky works well in place of the brandy. ,0,75,76.9,4,3.3,9.8,0.6,4.0,3.6,1.2,0.011,0.0005,0.0078,0.030600000000000002,0.0225,¾ cup shortening #1 cup white sugar #½ cup unsweetened cocoa powder #½ teaspoon ground black pepper #½ teaspoon ground cloves #½ teaspoon ground allspice #½ teaspoon ground cinnamon #4 cups all-purpose flour #1 teaspoon baking powder #½ teaspoon baking soda #1 cup milk #1 fluid ounce brandy #½ cup finely chopped walnuts #⅓ cup butter #¾ cup confectioners' sugar #5 tablespoons unsweetened cocoa powder #2 fluid ounces brandy ,0.0024
36,Mountain Tops,10436,Chocolate cookie with chocolate kiss candy in the center topped with white frosting. ,0,12,261.3,1,3.0,37.5,1.0,21.4,11.9,6.4,0.026199999999999998,0.001,0.0091,0.0587,0.0461,"⅓ cup butter #⅔ cup confectioners' sugar #1 teaspoon vanilla extract #2 (1 ounce) squares semisweet chocolate #1 ¼ cups all-purpose flour #2 tablespoons milk #24 milk chocolate candy kisses, unwrapped #2 tablespoons shortening #½ cup confectioners' sugar #1 tablespoon milk #½ teaspoon vanilla extract #¾ cup confectioners' sugar ",0.0159
37,Peanut Butter Balls I,10437,This is one of my favorite recipes. Whenever I visit my mother she always has a batch waiting for me. ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F35794.jpg,48,119.7,23,4.7,13.3,1.2,10.7,7.6,3.3,0.0075,0.0004,0.0202,0.0775,0.033,"4 tablespoons butter #2 cups confectioners' sugar #1 cup shredded coconut #1 cup chopped walnuts #⅔ cup peanut butter #½ cup maraschino cherries, chopped #2 ¼ cups semisweet chocolate chips #1 cup flaked coconut ",0.0025
38,Cream Cheese Cut-Outs I,10438,A fluffy cookie that tastes like a pastry. I use this simple recipe to cut out heart-shaped cookies for Valentine's Day. ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F8562.jpg,30,118.8,10,3.3,8.6,0.2,2.1,8.8,5.5,0.0091,0.0005,0.0024,0.0197,0.0853,"1 cup butter, softened #1 (8 ounce) package cream cheese, softened #½ cup sifted confectioners' sugar #2 cups all-purpose flour #¼ teaspoon salt ",0.0245
39,No Peeks,10439,"I used to make these cookies for my kids 30 years ago. We called them ""No Peeks"" because peeking before they were ready would have ruined them. It was always a ceremony for the kids because I'd put them in the oven just before they went to bed. In the morning the cookies would be ""miraculously"" all done. Use any color of food coloring you desire. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F4576008.jpg,60,31.8,5,3.9,6.2,0.2,6.0,0.8,0.5,0.0011,0.0001,0.0035,0.0167,0.004,4 egg whites #1 pinch salt #1 dash cream of tartar #1 ⅓ cups white sugar #4 drops green food coloring #1 cup semisweet chocolate chips #½ teaspoon peppermint extract ,0.0
40,Banana Oat Bars,10440,These bars are lower in fat than most bar cookies. ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F290165.jpg,18,71.6,103,3.9,16.1,1.1,9.8,0.5,0.1,0.0417,0.0004,0.014,0.10909999999999999,0.09770000000000001,1 ⅓ cups quick cooking oats #½ cup white sugar #2 teaspoons baking powder #1 teaspoon ground cinnamon #½ teaspoon baking soda #½ cup raisins #1 cup mashed bananas #¼ cup skim milk #2 egg whites #1 teaspoon vanilla extract ,0.0001
41,Glorified Gingerbread,10441,Gingerbread bar cookies. ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F996116.jpg,6,484.3,8,3.6,73.1,1.4,39.2,18.7,4.8,0.1226,0.0026,0.032299999999999995,0.2245,0.5433,1 cup white sugar #½ cup shortening #2 cups all-purpose flour #1 teaspoon ground ginger #1 teaspoon ground cinnamon #½ teaspoon ground cloves #½ teaspoon salt #2 tablespoons molasses #1 egg #1 teaspoon baking soda #1 teaspoon baking powder #1 teaspoon vanilla extract #1 cup buttermilk ,0.032600000000000004
42,South Dakota Sunflower Seed Cookies,10442,"Light, delicate semisweet cookies. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F9237687.jpg,36,169.9,13,3.6,18.3,0.8,9.3,10.2,2.0,0.0303,0.0008,0.0167,0.0485,0.2326,"1 ½ cups margarine, softened #3 cups all-purpose flour #1 ½ cups white sugar #1 tablespoon baking soda #1 tablespoon baking powder #1 cup shredded coconut #1 cup sunflower seeds ",0.0
43,Frosted Oatmeal Bars,10443,"This recipe is great for busy people with no time to bake cookies. They are quick, easy and delicious! ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F7847876.jpg,12,261.9,24,4.2,35.2,2.1,24.9,13.4,6.8,0.0223,0.001,0.0363,0.1311,0.0839,2 cups rolled oats #½ cup packed brown sugar #½ cup butter #½ cup honey #½ cup semisweet chocolate chips #¼ cup peanut butter ,0.020300000000000002
44,Peanut Butter Cup Brownies,10444,This is a yummy treat that everyone will love!! ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F703623.jpg,6,627.9,133,4.4,85.2,3.9,12.3,31.7,6.6,0.0425,0.0023,0.054200000000000005,0.3028,0.3735,"1 (19.8 ounce) package brownie mix #¼ cup vegetable oil #3 tablespoons water #1 egg #20 miniature chocolate covered peanut butter cups, unwrapped ",0.032600000000000004
45,Chocolate Coated Peanut Butter Crackers,10445,"Peanut butter-filled crackers with chocolate or white chocolate coating. (The recipe is written using chocolate almond bark, but just substitute the same amount of white chocolate for the white variation.) ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F3651768.jpg,20,389,111,4.8,39.3,1.0,28.5,24.0,10.6,0.1044,0.0009,0.020300000000000002,0.2023,0.2139,¾ cup peanut butter #2 pounds vanilla flavored confectioners' coating #80 buttery round crackers #2 ¼ ounces colored candy sprinkles ,0.0095
46,Molasses Cookies II,10446,"Soft, easy molasses cookies. Great for kids to help make! ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F4574080.jpg,18,216.4,140,4.6,32.3,0.6,17.0,9.0,2.3,0.0348,0.0014,0.0277,0.1745,0.2802,¾ cup shortening #1 cup packed brown sugar #1 egg #½ cup light molasses #2 ½ cups all-purpose flour #1 teaspoon salt #2 teaspoons baking soda #½ teaspoon ground cloves #1 teaspoon ground cinnamon #1 teaspoon ground ginger ,0.0103
